['5.43575388802', '2.10384324038', '1.84404800377', '-1.66700750889', '1.8284635565', '-1.14114336351', '0.869677556615']
['5.30444360726', '3.76807742364', '-0.117656583904', '-1.30245833304', '2.26117484101', '0.131381342688', '2.50043545866']
['2.1513301579', '2.50079504165', '0.600196862346', '-1.5574489732', '2.78646940067', '-1.15933521764', '0.191965070982']
['3.91325222025', '3.36179927781', '-0.715091979728', '-2.19648686335', '3.27585210233', '-1.08005820863', '1.24291673782']
['2.97976259222', '2.49744142379', '-0.14581172679', '-2.16926058228', '0.805934588885', '-0.379371812427', '-0.0383895478876']
['3.99289313123', '4.61278534889', '0.976372027619', '-2.39741472614', '3.88409353781', '-1.27660994707', '-1.10531761803']
['3.66362400861', '2.84159986217', '0.300241338984', '-2.18200182613', '2.79380691889', '-0.293909919453', '0.589133642036']
['2.40135052879', '2.36482289554', '-1.35850784994', '-1.55823519342', '1.99585456104', '-0.709784098497', '1.42000395525']
['4.57675028659', '2.29454184117', '-0.306615196391', '-1.97436636264', '3.19730115898', '-0.700101384834', '2.78445618161']
['3.59819327105', '2.74649545431', '1.71078342293', '-1.36776062642', '0.674201016422', '-0.965537255631', '1.85968583896']
['3.19134489997', '2.8496471235', '-0.191566183571', '-2.0664655847', '0.750008667509', '-0.535615233253', '0.369643097704']
['3.80843905808', '2.77041438495', '0.663517677939', '-0.588276030857', '0.91787493225', '-1.74732751728', '-0.157766069051']
['3.29149979855', '2.33578144702', '1.05258748271', '-1.9121897038', '3.0820169509', '-0.393110482231', '0.686982311037']
['2.93322064967', '4.08758935767', '1.3087218199', '-1.52750716915', '1.9311306379', '-1.15309118061', '0.8924034473']
['3.1913804548', '2.77798474065', '-0.0615756484425', '-0.116961623706', '0.719517442324', '-0.508968360788', '-1.45051589484']
['3.74559191562', '2.70313803708', '-0.077329802192', '-1.03719622468', '0.739512674778', '-1.27688049833', '1.33144745025']
['3.96965016796', '3.81041350649', '0.671890398437', '-3.25059188561', '2.64295854394', '-0.74891821771', '0.313550148489']
['3.21130201845', '2.76983569522', '1.61674290754', '-0.344271162899', '3.5302524344', '0.162183050977', '0.184326726336']
